uf;cidade;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
GO;GOUVELÂNDIA;620;8;619;597;22;16;6;0;53;69;8.729032258064516;9.0;474.41506451612906;4.45;261.94735963149077;2.5;-16.33509;40.47619;17.81;-34.671531677246094;0;0;0;3.5541195476575123;96.4458804523425;2.5848142164781907;0.9693053311793215;8.548387096774194;11.129032258064516;0.0;0.0;0.0
PR;PIRAÍ DO SUL;723;62;681;659;22;3;19;0;97;111;7.609958506224066;6.0;16141.994069847857;56.14;15161.731456752654;37.34;35.12838;36.064793;17.81;201.40370178222656;622;0;0;3.2305433186490458;96.76945668135095;0.4405286343612335;2.7900146842878124;13.416320885200554;15.352697095435685;86.03042876901799;0.0;0.0
SP;ASPÁSIA;768;17;768;746;22;5;17;0;38;49;7.440104166666667;6.0;1125.8491608072916;10.003350000000001;858.0422292225202;6.775;30.97132;30.378378;17.81;25.859270095825195;305;0;0;2.864583333333333;97.13541666666666;0.6510416666666667;2.213541666666667;4.947916666666666;6.380208333333333;39.71354166666667;0.0;0.0
BA;LUÍS EDUARDO MAGALHÃES;1176;87;1138;1116;22;14;8;0;204;221;6.835884353741497;5.0;108486.4905867347;71.61500000000001;84521.21982880143;45.15;22.23802;18.927767;17.81;301.0668029785156;204;0;0;1.9332161687170473;98.06678383128296;1.2302284710017575;0.7029876977152899;17.346938775510203;18.79251700680272;17.346938775510203;0.0;0.0
BA;BANZAÊ;1338;28;1332;1310;22;3;19;0;57;79;6.997010463378176;8.0;79607.41964349775;55.542500000000004;70555.95147572519;36.4;31.062366;31.309258;17.81;211.86132049560547;267;267;0;1.6516516516516515;98.34834834834835;0.22522522522522523;1.4264264264264264;4.260089686098654;5.904334828101645;19.955156950672645;19.955156950672645;0.0
BA;ÉRICO CARDOSO;3033;19;3007;2985;22;0;22;0;503;514;6.499505440158259;7.0;677.4758753709199;23.0;393.08439303649146;16.0;32.509365;34.03484;17.81;39.92139434814453;0;0;0;0.7316262055204523;99.26837379447954;0.0;0.7316262055204523;16.584240026376527;16.946917243653147;0.0;0.0;0.0
SP;ANGATUBA;21;1;21;0;21;21;0;0;0;21;0.0;0.0;16.98190476190476;9.99;;;;;17.81;-43.90791702270508;0;0;0;100.0;0.0;100.0;0.0;0.0;100.0;0.0;0.0;0.0
PR;CENTENÁRIO DO SUL;1179;49;29;8;21;18;3;0;99;117;4.987277353689567;4.0;16648.950754028836;36.33;8518.99721904762;21.5;40.016064;44.897293;17.81;103.98652648925781;1070;0;0;72.41379310344827;27.586206896551722;62.06896551724138;10.344827586206897;8.396946564885496;9.923664122137405;90.754877014419;0.0;0.0
MT;PONTES E LACERDA;136;9;136;115;21;20;1;0;92;112;1.7573529411764706;2.0;511.92360294117645;32.21;409.40330434782607;26.0;28.773056;22.360249;17.81;80.85345077514648;136;45;58;15.441176470588236;84.55882352941177;14.705882352941178;0.7352941176470588;67.64705882352942;82.35294117647058;100.0;33.088235294117645;42.64705882352941
MG;PRESIDENTE OLEGÁRIO;154;7;153;132;21;7;14;0;105;112;1.8636363636363635;2.0;1379.7496103896103;17.175;31.735606060606063;10.575;18.741676;7.961342;17.81;0.0;152;152;1;13.725490196078432;86.27450980392157;4.57516339869281;9.15032679738562;68.18181818181817;72.72727272727273;98.7012987012987;98.7012987012987;0.6493506493506493
