descricao_hash;descricao_exemplo;unidade;familia_textual;itens;processos;elegiveis_modelagem;insucesso_qtd;deserto_qtd;fracassado_qtd;baixa_comp_qtd;propostas_media;valor_cotado_mediano;valor_homologado_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;desconto_pct_mediano;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct
7692829230785703633;Prestação de Serviços, Locação de Ponto de internet com acesso e tempo ilimitado COD GMS 133-84149 - Prestação de Serviços, Locação de Ponto de internet com acesso e tempo ilimitado, por um período de 24 meses UNID. DE MEDIDA: Unitário velocidade Internet 1 GB (1024mbs) de downlo;SERVIÇO;de / com / para / em / do;16;2;16;16;13;3;3;0.1875;11259.36;;17.81;63119.31640625;;8;0;0;100.0;81.25;18.75;18.75
7165705721549479021;CONJUNTO ESCOLAR CARTEIRA E MESA AF60;UNIDADE;de / com / para / em / do;30;2;30;15;0;15;15;2.0;6.5;10.0;10.0;-35.0;0.0;0;0;0;50.0;0.0;50.0;50.0
7527425493916147428;CONJUNTO TRAPEZOIDAL INFANTIL;UNIDADE;de / com / para / em / do;22;2;22;11;0;11;11;2.0;4.0;5.0;5.0;-20.0;0.0;0;0;0;50.0;0.0;50.0;50.0
9727381750254497047;VENTILADOR DE PAREDE;UNIDADE;de / com / para / em / do;23;7;23;11;1;10;9;3.1739130434782608;5.0;5.0;5.0;0.0;0.0;2;2;0;47.82608695652174;4.3478260869565215;43.47826086956522;39.130434782608695
10774669244775858385;Sulfadiazina 500mg;Comprimido;de / com / para / em / do;14;12;14;10;8;2;4;0.8571428571428571;0.8733;0.835;17.81;-95.09657669067383;13.020833313465118;3;0;0;71.42857142857143;57.14285714285714;14.285714285714285;28.57142857142857
8900428929932632545;CARRINHO PARA BEBÊ REVERSÍVEL;UNIDADE;de / com / para / em / do;20;2;20;10;0;10;10;2.0;5.0;5.0;5.0;0.0;0.0;0;0;0;50.0;0.0;50.0;50.0
7638860567571950481;LONGARINA 3 LUGARES;UNIDADE;de / com / para / em / do;22;8;21;10;0;10;10;4.318181818181818;6.5;13.0;13.0;-50.0;0.0;1;0;0;47.61904761904761;0.0;47.61904761904761;45.45454545454545
14093107965427435483;CADEIRA FIXA CINZA;UNIDADE;de / com / para / em / do;17;2;17;9;0;9;9;1.9411764705882353;5.0;5.0;5.0;0.0;0.0;0;0;0;52.94117647058824;0.0;52.94117647058824;52.94117647058824
2457873365733696353;VENTILADOR DE PAREDE ARGE;UNIDADE;de / com / para / em / do;18;2;18;9;0;9;9;2.0;5.0;5.0;5.0;0.0;0.0;0;0;0;50.0;0.0;50.0;50.0
7173141193699321907;Eletroduto, conforme edital;Metro;de / com / para / em / do;18;2;18;9;0;9;18;1.5;3.93;3.93;3.93;0.0;0.0;0;0;0;50.0;0.0;50.0;100.0
